んに,621,621,8149,助動詞,*,ナ形容詞,ダ列基本連用形,んだ,んに,*
んだった,558,558,7975,助動詞,*,ナ形容詞,ダ列タ形,んだ,んだった,*
んだったろう,572,572,7970,助動詞,*,ナ形容詞,ダ列タ系推量形,んだ,んだったろう,*
んだったら,565,565,7970,助動詞,*,ナ形容詞,ダ列タ系条件形,んだ,んだったら,*
んで,593,593,8206,助動詞,*,ナ形容詞,ダ列タ系連用テ形,んだ,んで,*
んだったり,586,586,7970,助動詞,*,ナ形容詞,ダ列タ系連用タリ形,んだ,んだったり,*
んじゃ,579,579,7869,助動詞,*,ナ形容詞,ダ列タ系連用ジャ形,んだ,んじゃ,*
んなる,635,635,7970,助動詞,*,ナ形容詞,ダ列文語連体形,んだ,んなる,*
んなれば,628,628,7970,助動詞,*,ナ形容詞,ダ列文語条件形,んだ,んなれば,*
んである,684,684,8094,助動詞,*,ナ形容詞,デアル列基本形,んだ,んである,*
んであれ,712,712,7970,助動詞,*,ナ形容詞,デアル列命令形,んだ,んであれ,*
んであろう,698,698,7970,助動詞,*,ナ形容詞,デアル列基本推量形,んだ,んであろう,*
んであれば,691,691,7970,助動詞,*,ナ形容詞,デアル列基本条件形,んだ,んであれば,*
んであり,705,705,7970,助動詞,*,ナ形容詞,デアル列基本連用形,んだ,んであり,*
んであった,649,649,7970,助動詞,*,ナ形容詞,デアル列タ形,んだ,んであった,*
んであったろう,663,663,7970,助動詞,*,ナ形容詞,デアル列タ系推量形,んだ,んであったろう,*
んであったら,656,656,7970,助動詞,*,ナ形容詞,デアル列タ系条件形,んだ,んであったら,*
んであって,677,677,7970,助動詞,*,ナ形容詞,デアル列タ系連用テ形,んだ,んであって,*
んであったり,670,670,7970,助動詞,*,ナ形容詞,デアル列タ系連用タリ形,んだ,んであったり,*
んです,754,754,7936,助動詞,*,ナ形容詞,デス列基本形,んだ,んです,*
んでしょう,761,761,7967,助動詞,*,ナ形容詞,デス列基本推量形,んだ,んでしょう,*
んでしょ,768,768,7970,助動詞,*,ナ形容詞,デス列省略推量形,んだ,んでしょ,*
んでした,719,719,8477,助動詞,*,ナ形容詞,デス列タ形,んだ,んでした,*
